,Location,Latitude,Longitude,Frequency Of Monitoring,Sampling Month,Dissolved Oxygen,Bio Chemical Oxygen Demand,Fecal Coliform,pH
0,1074-RIVER GANGA AT BUXAR,25.57350,83.966669,FORTNIGHTLY,Jul-2021,6.7,1.1,17000,8.02
1,"1077-RIVER GANGA AT KURJI, PATNA U/S",25.65086,85.115085,FORTNIGHTLY,Jul-2021,6.7,1.1,17000,8.02
2,"1079-RIVER GANGA AT PATNA D/S (GANGA BRIDGE), GAIGHAT",25.61375,85.204131,FORTNIGHTLY,Jul-2021,7,1.8,54000,7.75
3,1815-RIVER GANGA AT MOKAMA (D/S),25.38144,85.987169,FORTNIGHTLY,Jun-2021,6.8,2.3,54000,7.99
4,1816-RIVER GANGA AT KAHALGAON,25.26733,87.227318,FORTNIGHTLY,Jun-2021,5.9,2.4,35000,7.75
5,"1817-RIVER GANGA AT MOKAMA (U/S), MAHADEO ASTHAN, PATNA",25.40110,85.923198,FORTNIGHTLY,Jun-2021,6.7,2.3,160000,7.62
6,1818-RIVER GANGA AT MUNGER,25.38497,86.458978,FORTNIGHTLY,Jun-2021,5.8,2.8,43000,7.51
7,1819-RIVER GANGA AT BHAGALPUR,25.25438,86.948424,FORTNIGHTLY,Jun-2021,6.1,1.8,160000,7.26
8,"2551-RIVER GANGA AT BUXAR, RAMREKHAGHAT",25.57614,83.970428,FORTNIGHTLY,Jun-2021,6.4,2.4,160000,7.72
9,"2552-RIVER GANGA AT GANDHIGHAT, NIT AT PATNA",25.62217,85.172816,FORTNIGHTLY,Jul-2021,7.2,1.5,160000,7.72
10,"2553-RIVER GANGA AT KEWALA GHAT,FATUHA, PATNA",25.51161,85.307417,FORTNIGHTLY,Jun-2021,6,2.3,160000,8.02
11,"2554-RIVER GANGA AT SULTANGANJ, BHAGALPUR",25.25751,86.747053,FORTNIGHTLY,Jun-2021,5.3,2.6,35000,8.39
12,"2564-RIVER GANGA AT THE CONFLUENCE OF SONE RIVER DORIGANJ, CHAPRA",25.70844,84.889727,FORTNIGHTLY,Jun-2021,7.6,1.4,160000,7.73
13,3113-RIVER GANGA AT D/S BUXAR NEAR ROAD BRIDGE,25.58897,83.985861,FORTNIGHTLY,Jun-2021,7.6,1.4,160000,7.73
14,"3114-RIVER GANGA NEAR DANAPUR (NEAR PIPA PUL) ,PATNA",25.58897,83.985861,FORTNIGHTLY,Jul-2021,5.1,1.8,160000,7.59
15,3115-RIVER GANGA AT BARH,25.48727,85.705236,FORTNIGHTLY,Jul-2021,4.8,3,160000,7.59
16,3116-RIVER GANGA AT U/S MUNGER (NEAR INTAKE WELL ON GANGA),25.36817,86.464302,FORTNIGHTLY,Jun-2021,5.6,2.4,35000,7.69
17,"3117-RIVER GANGA AT U/S SULTANGANJ, BHAGALPUR",25.25257,86.725558,FORTNIGHTLY,Jun-2021,6.5,1.2,160000,7.24
